closed_ts,account_id_hashed
2020-01-21 21:24:12.099000 UTC,+SqaUfDtlbuqOqlUrnAf7XzY3lLGqh1tc96JtSr4aX4ZVFxv7Nbzti228PnvcXIH41N0GuSXC7gv/hotZqlKXA==
2019-05-05 10:05:21.202000 UTC,+TiddGE88oqOFfPk9HqwFxdc5bkc3lkrG415fvveGxeZlvm732rwASSxBUW5UWoeTE1CL5AmTa6/VBFVEmSjHQ==
2018-05-07 20:54:42.635911 UTC,+TouqkMCFsSvo873N8TUbi6nUSJf73AWsiIVEjfKl3L/+Dkbod9GGR2nOQ6prU+6N2Ok0K5R/RC30d2zdb9Z/w==
2020-07-14 17:58:53.358000 UTC,+U8htRuyxH81diGtDwN8UQhsd2DOodk+tbHaNIDvD+I+N5TDGieHghjklQLUOWw2fC2RlhlnS8PznySruWVhcA==
2020-03-14 07:13:34.833000 UTC,+UZd0FVGxmoFVOfN14w3h9IhHhk7jvSVRmD9BOi/ajkL/yyleYj2TQO6RL1kZny/5KxPqs7a16M97g5Cma6B4A==
2020-07-10 09:45:25.537000 UTC,+VIsBRQDyHdscozUOiEOYsDNZFuvZ8TU8cQFkQLMcfHQJ6fBli7DfEnLoGJtdLy9U0oR00Lb5GQk01hq5JIELA==
2019-12-30 08:53:36.980000 UTC,+W8hleLExLyzm6zaGvodK6NpdrhRtl1yohHjge33cXqhPpThZOBztca/AlIn3FJVR3neBce5TBfLng0dVkyIFQ==
2019-12-26 11:46:41.258000 UTC,+WCyqURNAFworNXT4IlFVFYrn7tlVCxpr+JQ0xuI3xREF82vUKrEz/G/y6QZnvtRpnoy92jcjv9EvruyEOtw7w==
2019-01-06 16:34:06.858000 UTC,+WJwoPPvMIfDLD6YfZL2mGLD3C5JVqZOTa40BP2QGR+cVpC8qIKO1x7AczI0t8o1dUuJ5hk8PahiPDVPTGe39g==
2020-07-06 02:50:57.551000 UTC,+WUf0zSO4g7tDXYs7MA3yd4VyZC+1SKbcOkn4FihfoElAtaUGr2ZvLAqP/ikIpzn+N1dpnneF5EEz+DE0JoxGA==
2020-03-09 18:22:47.393000 UTC,+WpbICURLmCycRy3pktSS20AxaDiOBd/qeXJb2g3eD0US1WsWgJF6HJ+GZ8nVXyYWFm9z5qQw0H2ZlcCCFFQag==
2019-12-22 17:25:48.521000 UTC,+Y87Vf/n6fNSmi+c13WXYoQqOf5MblKDSeDJ7yEBrr0y5T9krUYfRReq5jWl34/M0iEVHFF0mA1WRODFmMuj4w==
2020-04-04 06:28:30.572000 UTC,+ZSqYr6wGaUZO6g7CDiVHsmaCuVK/QBDHfOw799UQDE42/A/+K2uDAUgYr2E4FFYM41BPXnGEG26YxaYv6oBdg==
2020-06-25 21:26:44.301000 UTC,+Zg4gRgmsx/77umDwClO4Ygi3ZLfmYdEKMhaqw0/cY3HwLF/9m8Nv0FZliOU3b2saFzAKCbKRfj0eG6c5MUnng==
2020-04-28 02:14:47.810000 UTC,+aOqmAwod0BtJIi4FxtrDsiOmyGlIfGBfCeMKMHnvZKx4WwgdOvSvNY6z5PcpDhx5kjp3FN+qEDyWGMe6P9hzg==
2020-03-15 16:12:58.492000 UTC,+aSGIrV5Rqw0ZSw6gBd+zRbRVx5VAq1sXT3vHZ0f7A1WBBKbkptzj1icM1bX1qIehdaj+6hya/QmTGTnmnSEWg==
2019-12-12 18:19:20.317000 UTC,+anCpJg6/EoorejjlCxG1a3zl3X5GIAKRwVa0PjF2JzGDLz65ClFGWSxBg5q1GQ9Mc9cODkt1ZGE8XnXN67Plw==
2020-08-05 18:10:00.961000 UTC,+cKEW1/rJCLuH5Ck4hoPJc29r0+JUzEdl1J1vOyqDW1Ng8vt8v3308M+5x2s/Y//8f4+U9EaxelxZjocBJH06g==
2019-06-02 09:05:08.658000 UTC,+dYOkxtiyVu6yZpYsGRayMYfcahwrxucYybvXzGxX34Gmj0WQ7Lwx4tj2WhFkTYKsO0IPiT1YmQOQJAUlRxdTw==
2019-12-30 08:53:33.038000 UTC,+dZ8CBXApuvnrglz/4Pk0g8cNWd2M2AWOUCEi9XW0HMhvedTo5At3G/A+xUe7+ZrrFoaWFc/B2T2H45bNcdsQA==
2018-07-31 05:23:49.303583 UTC,+e2w1CqqK5snUpetIK0dgaTws7iDD3oVxffbQmeNgZGkuLxoAW3VtW2lbdZRDnVWSCalRWT4x1Sa0MYe0wZgyQ==
2020-06-12 06:51:07.504000 UTC,+ey+QMr9Lfhz+MBbHzwJY+ZoyR7wK80h1mQAlpnqKV/NUqzT01ihdnDFRvt6oqPb89U56hP5msemuJ65YCihvQ==
2019-12-13 13:03:36.285000 UTC,+gSxx3Te9WnSRAp5gkz7h+gdVFwLDC3aRB/YyxJxRMvCXBLQwJ0KN+xqcCPlvnbb0w6K3C7T/8uzN4SdlY+N3Q==
2019-01-28 07:24:23.320000 UTC,+j58ZtiNPW3SIAKj3g8npbH+I+on9K1fb8OZkQVvKyKDusoSGTJ/HXizPq/bZ9g+TpgFE4dVB38pu45OEAtwrA==
